brand,model,seller_type,fuel_type,transmission_type,avg_cost_price,vehicle_age,km_driven,mileage,max_power,seats,selling_price
Maruti,Alto,Individual,Petrol,Manual,411202.7027027027,9,120000,19.7,46.3,5,120000
Hyundai,Grand,Individual,Petrol,Manual,729500.0,5,20000,18.9,82.0,5,550000
Hyundai,i20,Individual,Petrol,Manual,1081004.213483146,11,60000,17.0,80.0,5,215000
Maruti,Alto,Individual,Petrol,Manual,411202.7027027027,9,37000,20.92,67.1,5,226000
Ford,Ecosport,Dealer,Diesel,Manual,1196500.0,6,30000,22.77,98.59,5,570000
Maruti,Wagon R,Individual,Petrol,Manual,605000.0,8,35000,18.9,67.1,5,350000
Hyundai,i10,Dealer,Petrol,Manual,658500.0,8,40000,20.36,78.9,5,315000
Maruti,Wagon R,Dealer,Petrol,Manual,613500.0,3,17512,20.51,67.04,5,410000
Hyundai,Venue,Individual,Petrol,Automatic,1036000.0,2,20000,18.15,118.35,5,1050000
Maruti,Swift,Dealer,Petrol,Manual,781000.0,4,28321,16.6,85.0,5,511000
Hyundai,Verna,Dealer,Diesel,Manual,1569000.0,8,65278,22.32,126.32,5,425000
Renault,Duster,Individual,Diesel,Manual,1416888.888888889,5,50000,19.64,108.45,5,750000
Mini,Cooper,Dealer,Petrol,Automatic,4739000.0,4,6000,14.41,189.08,5,3250000
Maruti,Ciaz,Dealer,Diesel,Manual,1159571.9424460432,5,76000,28.09,88.5,5,650000
Maruti,Swift,Individual,Diesel,Manual,774671.5686274511,5,20000,25.2,74.0,5,627000
Mercedes-Benz,C-Class,Dealer,Diesel,Automatic,5769000.0,7,65000,19.27,170.0,5,1425000
Maruti,Swift,Dealer,Diesel,Manual,774671.5686274511,7,62200,28.4,74.0,5,425000
Toyota,Innova,Individual,Diesel,Manual,2486142.8571428573,8,110000,12.99,100.6,8,605000
Maruti,Baleno,Individual,Petrol,Manual,867500.0,6,20000,21.4,83.1,5,600000
Maruti,Swift Dzire,Individual,Petrol,Manual,869000.0,5,40000,20.85,83.14,5,575000
Volkswagen,Vento,Dealer,Petrol,Manual,1310000.0,8,47000,16.09,103.2,5,425000
Maruti,Alto,Dealer,Petrol,Manual,411202.7027027027,8,25000,20.92,67.1,5,230000
Hyundai,Creta,Individual,Diesel,Manual,1462500.0,2,15000,19.67,126.2,5,1225000
Honda,City,Individual,Petrol,Manual,1446500.0,6,50000,17.4,117.3,5,750000
Mahindra,Bolero,Individual,Diesel,Manual,987000.0,10,25000,13.6,63.0,7,350000
Maruti,Swift Dzire,Individual,Diesel,Manual,832947.2891566264,6,90000,26.59,74.0,5,600000
Maruti,Swift Dzire,Dealer,Diesel,Manual,832947.2891566264,8,45000,26.59,74.0,5,390000
Honda,City,Dealer,Petrol,Manual,1474000.0,14,77253,17.7,78.0,5,145000
Hyundai,i20,Individual,Petrol,Manual,1081004.213483146,3,25000,17.19,81.86,5,700000
Toyota,Fortuner,Individual,Diesel,Manual,4038500.0,8,110000,13.0,168.5,7,1150000
Renault,KWID,Individual,Petrol,Manual,505000.0,4,30000,23.01,67.0,5,340000
Honda,Amaze,Dealer,Petrol,Manual,847000.0,5,39993,18.6,88.76,5,465000
Hyundai,Santro,Individual,Petrol,Manual,639939.0243902439,12,80000,17.92,62.1,5,125000
Mahindra,XUV500,Individual,Diesel,Manual,1997500.0,9,185000,15.1,140.0,7,600000
Maruti,Swift Dzire,Individual,Diesel,Manual,832947.2891566264,8,90000,23.4,74.0,5,380000
Hyundai,i20,Individual,Diesel,Manual,1081004.213483146,3,15000,22.54,88.73,5,850000
Hyundai,i20,Individual,Petrol,Manual,1014500.0,3,40000,18.6,81.83,5,598000
Honda,City,Dealer,Petrol,Automatic,1474000.0,6,31180,18.0,117.3,5,700000
Maruti,Swift Dzire,Dealer,Diesel,Manual,832947.2891566264,7,56000,23.4,74.0,5,410000
Maruti,Baleno,Dealer,Petrol,Automatic,855000.0,5,52427,21.4,83.1,5,590000
Mahindra,Bolero,Individual,Diesel,Manual,970000.0,1,40000,21.0,74.96,7,850000
Mahindra,KUV100,Individual,Petrol,Manual,781500.0,3,17000,18.15,82.0,5,550000
Maruti,Baleno,Dealer,Petrol,Manual,867500.0,5,22000,15.4,94.0,5,625000
Maruti,Swift Dzire,Individual,Petrol,Manual,869000.0,5,54000,20.85,83.14,5,600000
Maruti,Wagon R,Individual,Petrol,Manual,595000.0,2,10000,20.51,67.04,5,445000
Maruti,Ignis,Individual,Petrol,Manual,716500.0,2,20000,20.89,81.8,5,530000
Maruti,Wagon R,Trustmark Dealer,CNG,Manual,600500.0,3,53237,26.6,58.16,5,410000
Datsun,RediGO,Individual,Petrol,Manual,439500.0,3,27263,22.5,68.0,5,350000
Hyundai,Verna,Individual,Diesel,Manual,1546500.0,7,110000,22.32,126.3,5,520000
Hyundai,i20,Individual,Diesel,Manual,1121000.0,5,70000,22.54,88.73,5,750000
Maruti,Swift Dzire,Individual,Diesel,Manual,832947.2891566264,4,70000,26.59,74.0,5,560000
Hyundai,i20,Dealer,Petrol,Manual,1072000.0,2,39000,18.6,81.83,5,655000
Hyundai,Santro,Dealer,Petrol,Manual,639939.0243902439,14,56000,17.8,63.0,5,125000
Hyundai,i20,Individual,Petrol,Manual,1047500.0,3,34000,18.6,81.83,5,550000
Mahindra,Scorpio,Individual,Diesel,Manual,1751000.0,4,50000,15.4,120.0,7,1150000
Volkswagen,Vento,Individual,Diesel,Manual,1329465.9090909092,9,77400,20.54,103.6,5,500000
Mahindra,Marazzo,Individual,Diesel,Manual,1516000.0,2,36000,17.3,121.0,7,990000
Hyundai,Verna,Dealer,Diesel,Manual,1545500.0,8,47876,25.0,113.42,5,551000
Mahindra,XUV500,Individual,Diesel,Automatic,1991000.0,3,21500,15.1,152.87,7,1650000
Hyundai,Grand,Dealer,Diesel,Manual,707119.5054945055,6,75000,24.0,70.0,5,350000
Ford,Aspire,Dealer,Petrol,Manual,777500.0,4,58000,18.16,86.8,5,500000
Maruti,Swift Dzire,Individual,Petrol,Manual,855500.0,3,30000,21.21,81.8,5,575000
Hyundai,Grand,Individual,Diesel,Manual,707119.5054945055,3,50000,24.0,73.97,5,545000
